"Variable";"N";"Mean";"Std. Dev.";"Min";"Pctl. 25";"Pctl. 75";"Max"
"Prevalence";"59";"0.306";"0.256";"0.052";"0.1";"0.442";"0.923"
"Taxonomic level";"59";"";"";"";"";"";""
"... family";"57";"96.6%";"";"";"";"";""
"... group";"1";"1.7%";"";"";"";"";""
"... phylum";"1";"1.7%";"";"";"";"";""
"Null_model";"59";"0.925";"0.309";"0.411";"0.622";"1.194";"1.385"
"ada2020.fit";"59";"0.681";"0.269";"0.196";"0.444";"0.891";"1.196"
"rf2020.fit";"59";"0.237";"0.116";"0.045";"0.147";"0.319";"0.509"
"ada2021.fit";"59";"0.671";"0.273";"0.215";"0.429";"0.877";"1.193"
"rf2021.fit";"59";"0.236";"0.116";"0.045";"0.146";"0.315";"0.508"
"ada2022.fit";"59";"0.681";"0.269";"0.193";"0.45";"0.888";"1.197"
"rf2022.fit";"59";"0.237";"0.116";"0.045";"0.147";"0.318";"0.507"
"ada2023.fit";"59";"0.677";"0.27";"0.221";"0.443";"0.889";"1.215"
"rf2023.fit";"59";"0.236";"0.116";"0.045";"0.146";"0.315";"0.508"
"ada2024.fit";"59";"0.674";"0.272";"0.194";"0.426";"0.89";"1.2"
"rf2024.fit";"59";"0.237";"0.116";"0.045";"0.146";"0.319";"0.508"
"expl.pow_ada2020.fit";"59";"0.268";"0.144";"-0.026";"0.162";"0.371";"0.647"
"expl.pow_rf2020.fit";"59";"0.752";"0.069";"0.596";"0.706";"0.805";"0.919"
"expl.pow_ada2021.fit";"59";"0.282";"0.136";"-0.012";"0.181";"0.383";"0.577"
"expl.pow_rf2021.fit";"59";"0.753";"0.069";"0.597";"0.705";"0.803";"0.919"
"expl.pow_ada2022.fit";"59";"0.269";"0.14";"-0.026";"0.155";"0.377";"0.603"
"expl.pow_rf2022.fit";"59";"0.752";"0.069";"0.596";"0.704";"0.803";"0.918"
"expl.pow_ada2023.fit";"59";"0.273";"0.139";"-0.028";"0.16";"0.377";"0.6"
"expl.pow_rf2023.fit";"59";"0.753";"0.069";"0.596";"0.706";"0.804";"0.918"
"expl.pow_ada2024.fit";"59";"0.279";"0.137";"-0.015";"0.182";"0.382";"0.651"
"expl.pow_rf2024.fit";"59";"0.753";"0.069";"0.596";"0.707";"0.804";"0.919"
"ada2020.pred";"59";"0.896";"0.394";"0.027";"0.579";"1.223";"1.643"
"rf2020.pred";"59";"0.904";"0.355";"0.012";"0.604";"1.162";"1.377"
"ada2021.pred";"59";"0.893";"0.395";"0.016";"0.58";"1.212";"1.685"
"rf2021.pred";"59";"0.905";"0.353";"0.015";"0.602";"1.165";"1.369"
"ada2022.pred";"59";"0.9";"0.398";"0.027";"0.585";"1.228";"1.68"
"rf2022.pred";"59";"0.904";"0.353";"0.015";"0.604";"1.166";"1.376"
"ada2023.pred";"59";"0.892";"0.39";"0.028";"0.575";"1.192";"1.708"
"rf2023.pred";"59";"0.907";"0.354";"0.013";"0.61";"1.177";"1.379"
"ada2024.pred";"59";"0.893";"0.39";"0.015";"0.582";"1.22";"1.628"
"rf2024.pred";"59";"0.904";"0.354";"0.014";"0.603";"1.167";"1.367"
"expl.pow_ada2020.pred";"59";"-0.029";"0.562";"-1.957";"-0.214";"0.242";"0.956"
"expl.pow_rf2020.pred";"59";"-0.042";"0.508";"-1.427";"-0.259";"0.224";"0.98"
"expl.pow_ada2021.pred";"59";"-0.023";"0.561";"-2.033";"-0.281";"0.241";"0.974"
"expl.pow_rf2021.pred";"59";"-0.043";"0.504";"-1.394";"-0.264";"0.231";"0.975"
"expl.pow_ada2022.pred";"59";"-0.036";"0.589";"-2.169";"-0.264";"0.251";"0.957"
"expl.pow_rf2022.pred";"59";"-0.042";"0.503";"-1.441";"-0.266";"0.231";"0.976"
"expl.pow_ada2023.pred";"59";"-0.023";"0.56";"-2.075";"-0.257";"0.246";"0.955"
"expl.pow_rf2023.pred";"59";"-0.044";"0.503";"-1.381";"-0.273";"0.201";"0.979"
"expl.pow_ada2024.pred";"59";"-0.023";"0.555";"-1.93";"-0.266";"0.246";"0.977"
"expl.pow_rf2024.pred";"59";"-0.042";"0.505";"-1.455";"-0.265";"0.23";"0.978"
"ada2020.likelihood.ratio";"59";"0.915";"0.175";"0.485";"0.801";"1.026";"1.27"
"rf2020.likelihood.ratio";"59";"0.727";"0.13";"0.521";"0.635";"0.798";"1.092"
"ada2021.likelihood.ratio";"59";"0.912";"0.172";"0.484";"0.796";"1.015";"1.249"
"rf2021.likelihood.ratio";"59";"0.726";"0.129";"0.526";"0.635";"0.8";"1.09"
"ada2022.likelihood.ratio";"59";"0.914";"0.175";"0.482";"0.794";"1.019";"1.268"
"rf2022.likelihood.ratio";"59";"0.727";"0.129";"0.519";"0.634";"0.796";"1.092"
"ada2023.likelihood.ratio";"59";"0.915";"0.172";"0.476";"0.777";"1.021";"1.269"
"rf2023.likelihood.ratio";"59";"0.726";"0.129";"0.528";"0.632";"0.795";"1.09"
"ada2024.likelihood.ratio";"59";"0.913";"0.172";"0.488";"0.79";"1.01";"1.272"
"rf2024.likelihood.ratio";"59";"0.727";"0.129";"0.517";"0.633";"0.798";"1.091"
"Big.pred.expl.pow.diff";"59";"0.154";"0.224";"0.011";"0.044";"0.148";"1.192"
"chGLM.model.diff";"0";"";"";"";"";"";""
"... No";"0";"NaN%";"";"";"";"";""
"... Yes";"0";"NaN%";"";"";"";"";""
"chGLM.pred.expl.pow.diff";"0";"";"";"";"";"";""
"... No";"0";"NaN%";"";"";"";"";""
"... Yes";"0";"NaN%";"";"";"";"";""
